path,parentId,name,ID,synapseStore,contentType,used,executed,activityName,activityDescription
c:\users\kit02\github\cataract-1k\videos\case_4687.mp4,syn53395325,case_4687.mp4,syn53395326,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4693.mp4,syn53395325,case_4693.mp4,syn53395327,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4695.mp4,syn53395325,case_4695.mp4,syn53395328,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4697.mp4,syn53395325,case_4697.mp4,syn53395329,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4709.mp4,syn53395325,case_4709.mp4,syn53395330,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4750.mp4,syn53395325,case_4750.mp4,syn53395331,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4811.mp4,syn53395325,case_4811.mp4,syn53395332,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4816.mp4,syn53395325,case_4816.mp4,syn53395333,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4852.mp4,syn53395325,case_4852.mp4,syn53395334,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4859.mp4,syn53395325,case_4859.mp4,syn53395336,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4863.mp4,syn53395325,case_4863.mp4,syn53395341,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4864.mp4,syn53395325,case_4864.mp4,syn53395342,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4874.mp4,syn53395325,case_4874.mp4,syn53395343,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4888.mp4,syn53395325,case_4888.mp4,syn53395344,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4899.mp4,syn53395325,case_4899.mp4,syn53395345,True,video/mp4,,,,
c:\users\kit02\github\cataract-1k\videos\case_4906.mp4,syn53395325,case_4906.mp4,syn53395350,True,video/mp4,,,,
