file_path,label,label_id
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4687_Incision_0_00_13.279947-0_00_16.90023430fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4687_Incision_0_00_19.369369-0_00_23.54020730fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4693_Incision_0_00_05.405405-0_00_10.62729430fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4695_Incision_0_00_05.016667-0_00_09.33333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4695_Incision_0_00_12.400000-0_00_21.18333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4697_Incision_0_00_11.616667-0_00_15.88333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4697_Incision_0_00_18.700000-0_00_23.73333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4709_Incision_0_00_29.300000-0_00_35.68333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4750_Incision_0_00_03.300000-0_00_07.53333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4811_Incision_0_00_00.216884-0_00_04.87153830fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4811_Incision_0_00_07.557558-0_00_11.46146130fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4816_Incision_0_00_00-0_00_04.60000030fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4816_Incision_0_00_07.116667-0_00_10.43333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4852_Incision_0_00_46.079413-0_00_51.25125130fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4852_Incision_0_00_55.805806-0_01_02.14547930fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4859_Incision_0_00_04.650000-0_00_08.63333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4859_Incision_0_00_12.700000-0_00_1730fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4863_Incision_0_00_06.850000-0_00_12.36666730fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4864_Incision_0_00_04.683333-0_00_08.38333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4864_Incision_0_00_12.516667-0_00_17.90000030fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4874_Incision_0_00_32.916667-0_00_38.28333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4888_Incision_0_00_05.205205-0_00_08.80880930fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4899_Incision_0_00_02.550000-0_00_06.50000030fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4899_Incision_0_00_09-0_00_15.08333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4906_Incision_0_00_11.750000-0_00_16.28333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4906_Incision_0_00_18.900000-0_00_27.08333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4923_Incision_0_00_07.466667-0_00_15.28333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4924_Incision_0_00_00-0_00_06.10000030fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4924_Incision_0_00_10.300000-0_00_15.13333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4927_Incision_0_00_04.921588-0_00_11.32799530fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4927_Incision_0_00_15.415415-0_00_21.00433830fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4939_Incision_0_00_06.850000-0_00_10.73333330fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4999_Incision_0_00_00.316984-0_00_04.02068730fps.mp4,Incision,0
C:\Users\kit02\GitHub\Cataract-1K\Phase_recognition_dataset\Training_Dataset\Incision\case_4999_Incision_0_00_07.507508-0_00_11.39472830fps.mp4,Incision,0
